RatingAverage,QuantitySold,ReviewCount,OriginalPrice,ReviewThankCount,ProductUsageTime,ReviewContent,ReviewStar
4.8,12418,3492,799000,1,694.0,"Hàng giao đúng thời gian. 
Cho Tôi hỏi 1 vấn đề là Tiki now giao hàng là không được đợi khách? phải đến và giao hàng đi liền ah? 
Nếu như vậy: bên Tiki now phải liên lạc khác trước khi giao hay là giao đại? không cần biết là khách có nhà hay không?
nếu Tiki now giao hàng mà bắt khách phải đứng chờ để nhận hàng thì tôi sẽ không dùng Tiki now nữa",2
4.8,12418,3492,799000,0,36281.0,"- Cây lau nhẹ quá, nên cần lực lau nhiều hơn sàn mới sạch
- Vắt nước không khô lắm nên khi lau sàn rất lâu khô và để lại vết quện trên sàn
- Cây lau khá bé, đàn ông cầm lọt thỏm không hài hòa
+ Điểm cộng là cây cầm khá chắc chắn.",2
4.8,12418,3492,799000,0,908989.0,Mới dùng 2 lần gãy khớp :) thua,2
4.8,12418,3492,799000,1,112620.0,"miếng gạt mica dễ bung, xài được 2 tháng rơi mất, ko gạt sạch được dẻ lau. Shop cũng ko bán miếng thay thế. Bỏ lun cả bộ???",2
4.8,12418,3492,799000,0,12353.0,Chất lượng không tương xứng với giá,2
4.8,12418,3492,799000,0,14505.0,"hàng giả k phải chính hãng , thùng mỏng cây yếu 😫",2
4.8,12418,3492,799000,0,2052779.0,"giao hàng rất chậm , phải gọi tổng đài mấy lần mới giao",2
4.8,12418,3492,799000,0,1215456.0,chất lượng không tương xứng so với giá bán,2
4.8,12418,3492,799000,0,3307156.0,Hàng chưa dùng đã bể thùng. Thùng rất mỏng. Ko đáng tiền,2
4.8,12418,3492,799000,0,1640367.0,Miếng vải bị bong sau khi bóc ra,2
4.8,12418,3492,799000,3,6673.0,"Vào các sàn thương mại bây giờ, mục review là ma trận của các seeder (trừ các shop làm ăn chân chính). Sau khi sử dụng thì sản phẩm thực tế như sau:
1. Sp ghi kèm theo 3 miếng lau nhưng thực tế là chỉ kèm thêm 2 miếng, 2 miếng lau này chất liệu kém hơn miếng lau gốc.
 2. Nhựa gia công ở mức trung bình, phần đáy rất mỏng, bị lồi lên.
3. Không có lỗ thoát nước riêng cho ngăn vắt nên nước tràn từ ngăn giặt sang không thoát đi được, liên tục phải đổ toàn bộ nước đi nếu muốn vắt khô
4. Thiết kế tiết kiệm vật liệu nên để giặt ngập hết chổi thì nước đã đầy mấp mé miệng thùng, do vậy rất dễ tràn ra ngăn vắt. Lại phải chế thêm 1 chậu nước bên cạnh để giặt giẻ
5. Lau nhà tương đối sạch còn độ bền chưa kiểm định được vì vừa mới mua. 
6. Tổng quan sản phẩm ở mức OK, có thể sử dụng được chứ không phải xuất sắc. Đề nghị Tiki không cho nổi các review điểm cao để đánh lạc hướng người sử dụng",3
4.8,12418,3492,799000,0,662.0,"cái thứ 2 mình sử dụng, thích nhất : vắt khô, tay cầm êm. ko thích: chốt gài dẻ lau mỏng manh, vải lau đường chỉ thưa....",3
4.8,12418,3492,799000,0,54942.0,"Minh đặt hai bộ nhưng một bộ giao không đầy đủ chỉ nhận có 1 miếng giẻ lau, thiếu hai miếng giẻ lau, nhờ bên mình xem lại giúp ạ",3
